Job Title,Company Name,Location,Required Skills,Job Type,Job Description
Software Engineer,Croem Inc,Islamabad,['DotNet'],Full Time,"Croem Inc is seeking a talented Software Engineer to join our innovative team. The ideal candidate will have a strong background in software development, specifically with experience in the .NET framework. You will work collaboratively in an agile environment, contributing to the design, implementation, and maintenance of software applications. As a Software Engineer, you will engage with cross-functional teams to identify requirements and create solutions that meet customer needs. This role is essential in ensuring the performance and reliability of our software products while adhering to best coding practices and standards. You will not be required to manage a team, allowing you to focus solely on your technical contributions and growth within the organization.
Responsibilities
Design, develop, and maintain software applications using the .NET framework.
Collaborate with product management and design teams to gather requirements and translate them into technical specifications.
Write clean, scalable, and efficient code that adheres to industry standards.
Conduct code reviews to ensure quality and share knowledge with peers.
Debug and troubleshoot software issues, identifying root causes and implementing solutions promptly.
Participate in agile ceremonies, including sprint planning, reviews, and retrospectives.
Stay up-to-date with emerging technologies and industry trends to continuously enhance skills and apply new ideas to projects.
Contribute to the development of technical documentation, including architecture diagrams and user guides.
Assist in the deployment of applications and monitor performance in production environments.
Collaborate with QA teams to design and execute test plans, ensuring high-quality software delivery."
Software Engineer,St. Michael Llc,Karachi,"['JavaScript', 'Java', 'CPLUSPLUS']",Full Time,"St. Michael LLC is seeking a skilled Software Engineer to join our dynamic team. The ideal candidate will have a strong background in software development and experience with programming languages such as Java, C++, and JavaScript. This role is crucial in building and maintaining software solutions that meet the needs of our clients. In this position, the Software Engineer will work closely with project managers and other stakeholders to enhance the overall functionality and user experience of applications. The role does not require team management duties but emphasizes collaboration within a team environment to achieve common project goals.
Responsibilities
Design, develop, and implement high-quality software solutions using Java, C++, and JavaScript.
Collaborate with product managers and other engineers to understand project requirements and translate them into technical specifications.
Participate in code reviews to maintain code quality and ensure coding standards are met.
Troubleshoot and debug existing software applications to enhance performance and address any issues.
Maintain detailed documentation of software development processes, including design specifications and user manuals.
Learn and adapt to new technologies and programming languages as required for project needs.
Perform thorough testing of developed applications to ensure they meet the highest standards of functionality and usability.
Contribute to team meetings and brainstorming sessions to share ideas and feedback on improving software solutions."
Software Engineer,Wayne Enterprises,All Cities,['JavaScript'],Full Time,"Wayne Enterprises is seeking a skilled Software Engineer to join our innovative team. In this dynamic role, you will contribute to designing, developing, and maintaining software applications that enhance the operational capabilities of our organization. You will collaborate closely with cross-functional teams to create robust, scalable, and efficient software solutions. The ideal candidate will have a strong proficiency in JavaScript and be ready to engage with cutting-edge technologies to drive project success. As a team leader, you will oversee a team of three talented engineers, providing mentorship and guidance to ensure optimal performance and collaboration within the group. Your leadership will be essential in fostering a positive development environment and driving continuous improvement within the team. We welcome individuals who are passionate about technology and eager to contribute to projects that make a difference. We provide a supportive culture that encourages professional development, and we are excited to find a candidate who aligns with our mission to innovate and excel in the field of software engineering.
Responsibilities
Design, develop, and maintain high-quality software applications using JavaScript and other programming languages.
Lead, mentor, and manage a team of three software engineers, ensuring project goals are met and team dynamics remain strong.
Collaborate with product managers, designers, and other stakeholders to gather requirements and translate them into technical specifications.
Conduct code reviews to maintain code quality, ensure adherence to best practices, and facilitate knowledge sharing among team members.
Implement software development methodologies such as Agile and Scrum to optimize team performance and ensure timely delivery of projects.
Identify and resolve software defects and performance issues, ensuring improved user experience and system reliability.
Stay current with industry trends, technologies, and best practices in software engineering to drive continual learning and innovation within the team.
Participate in architecture discussions and contribute to the long-term technical vision of the organization.
Prepare and maintain project documentation, including design specifications, user manuals, and operational guides.
Facilitate regular team meetings to discuss progress, challenges, and upcoming tasks, ensuring clarity in roles and accountability."
Software Engineer,Xoftex,Lahore,"['Microsoft .NET', '.Net', 'AngularJS']",Full Time,"We are looking for a Software Engineer to join our growing Engineering team and build out the next generation of our platform. The ideal candidate is a hands-on platform builder with significant experience in developing scalable data platforms. We’re looking for someone with experience in business intelligence, analytics, data science and data products. They must have strong, firsthand technical expertise in a variety of configuration management and big data technologies and the proven ability to fashion robust scalable solutions that can manage large data sets. They must be at ease working in an agile environment with little supervision. This person should embody a passion for continuous improvement and test-driven development.
Qualifications
Hands-on experience working with technologies like Hadoop, Hive, Pig, Oozie, Map Reduce, Spark, Sqoop, Kafka, Flume, etc.
Strong DevOps focus and experience building and deploying infrastructure with cloud deployment technologies like Ansible, Chef, puppet, etc.
Experience with test-driven development and automated testing frameworks.
Experience with Scrum/Agile development methodologies.
Capable of delivering on multiple competing priorities with little supervision.
Excellent verbal and written communication skills.
Bachelor’s Degree in computer science or equivalent experience.
Responsibilities
Analyze, design, and develop tests and test-automation suites.
Design and develop a processing platform using various configuration management technologies.
Test software development methodology in an agile environment.
Provide ongoing maintenance, support and enhancements in existing systems and platforms.
Collaborate cross-functionally with data scientists, business users, project managers, and other engineers to achieve elegant solutions.
Provide recommendations for continuous improvement.
Work alongside other engineers on the team to elevate technology and consistently apply best practices."
Software Engineer,Softo Tech,Islamabad,"['Knowledge of Digital Marketing', 'Knowledge of AI', 'Abilities Of Team Work']",Contract,"Knowledge of Digital marketing 
Abilities of team work
Work under challengeing environment 
Knowledgeof Al "
Software Engineer,Digi Soft,Karachi,"['ASP.net', 'MVC', 'RESTful APIs', 'AngularJS']",Full Time,"Good in Anuglar, Net core, and Microsoft SQL Server.
Extensive Azure DevOps a strong focus on the applications side.
Comfortable developing code using C# and.net Core.
Hands-on and willing to drive and own those components.
Implementation and rollouts, setting up customer environments."
Software Engineer - SQL Database,The Shams Group,Multiple Cities,"['JavaScript', 'HTML', 'Data Management', '.NET Framework', 'Software Development', 'Microsoft SQL Database', 'PowerShell', 'End to End Sales']",Full Time,"We are looking for a qualified Database developer to design stable and reliable databases, according to our companys needs. You will be responsible for developing, testing, improving and maintaining new and existing databases to help users retrieve data effectively.
As part of our IT team, you will work closely with developers to ensure system consistency. You will also collaborate with administrators and clients to provide technical support and identify new requirements. Communication and organization skills are keys for this position, along with a problem-solution attitude. Ultimately, you should be able to ensure our database systems run effectively and securely on a daily basis.
Compensation is based on skills and experience.
Only qualified candidates with relevant skills and experience will be considered. Candidate will need to pass a technical test to qualify for this position.
This is a full time contract position with remote work from candidate current location for Dallas TX USA based company. Re-location is not required for this job.
This position requires to work at least for 4 hours during TSG business time (9:00 am to 5:00 pm Central Standard Time – CST). This requirement may eventually vary with the increased or decreased presence during TSG business hours depending on your productivity, knowledge, and skills.
Requirements
Bachelors degree in Computer Science or relevant field
Minmum of 3 years of proven work experience as a Database developer
In-depth understanding of data management (e.g. permissions, recovery, security and monitoring)
Knowledge of software development and user interface web applications
Hands-on experience as a Microsoft SQL Database Developer
Familiarity working with .Net Framework, JavaScript, HTML and PowerShell
Excellent analytical and organization skills
An ability to understand front-end users requirements and a problem-solving attitude
Excellent verbal and written communication skills
Ability to work in a remote environment with a global team
Responsibilities
Design stable, reliable and effective databases
Optimize and maintain legacy systems
Modify databases according to requests and perform tests
Solve database usage issues and malfunctions
Liaise with developers to improve applications and establish best practices
Gather user requirements and identify new features
Develop technical and training manuals
Provide data management support to users
Ensure all database programs meet company and performance requirements
Research and suggest new database products, services and protocols"
Software Engineer,Universal Technology Systems and Associates LLC,All Cities,"['Backend Development', 'Jira Configuration', 'HTML', 'Frontend Coding']",Full Time,"Create, modify, and test code and scripts for computer applications.
Engage in full-stack development across various platforms and technologies, including:
Frontend: HTML, CSS, JavaScript, TypeScript, Angular, React, Vue.js.
Backend: Node.js, Express.js, Django, Flask, Ruby on Rails.
Demonstrate proficiency in multiple programming languages and paradigms, such as:
Python, Java, C++, C#, JavaScript, TypeScript, Ruby, PHP, Swift, Kotlin, Go, Rust, R, MATLAB, Perl.
Work with frameworks and libraries, including:
.NET Core, Spring, Hibernate, Laravel, Symfony, Flask, Django, Angular, React, Vue.js.
Develop and integrate applications using various APIs, ensuring secure and efficient data exchange:
APIs and Protocols: REST, SOAP, GraphQL, JSON-RPC, gRPC.
Integration Tools: Postman, Swagger, API Gateway.
Utilize cloud platforms and services for deploying and managing applications:
Cloud Platforms: AWS, Azure, Google Cloud Platform (GCP), IBM Cloud, Oracle Cloud.
Services: AWS Lambda, Azure Functions, Google Cloud Functions, Kubernetes, Docker, Terraform, Ansible.
Design, develop, and maintain database systems, ensuring data integrity, security, and performance:
SQL Databases: MySQL, PostgreSQL, Oracle Database, Microsoft SQL Server.
NoSQL Databases: MongoDB, Cassandra, Redis, Couchbase, Firebase Firestore, DynamoDB.
Implement various testing methodologies to ensure robust and reliable code:
Testing Frameworks: JUnit, NUnit, PyTest, Mocha, Jasmine, RSpec, Selenium, Cucumber.
Tools: JIRA, Jenkins, Travis CI, CircleCI, GitLab CI, SonarQube."
Software Engineer,MATZ Solutions Pvt Ltd,Karachi,"['JavaScript', 'Automation Languages Command', 'Executing Content', 'HTML', 'NodeJs', 'React JS', 'React', 'Angular', 'CSS']",Full Time,"We are looking for talented and motivated Software Engineers to join our dynamic team. As a Software Engineer, you will be responsible for designing, developing, and maintaining high-quality applications and systems that meet our clients' needs. This is an excellent opportunity to work in a collaborative and innovative environment.
Key Responsibilities:
Develop and maintain web and mobile applications using modern programming languages and frameworks.
Write clean, efficient, and scalable code.
Collaborate with cross-functional teams to define, design, and ship new features.
Troubleshoot and debug applications to ensure optimal performance.
Participate in code reviews to ensure high-quality code and adherence to industry standards.
Stay up-to-date with emerging technologies and incorporate them into projects.
Qualifications:
Minimum 1 year of professional experience in software development.
Strong understanding of object-oriented programming and design patterns.
Knowledge of database design and management.
Ability to work in a team-oriented environment with strong problem-solving skills."
Senior Software Engineer,Pakistan Single Window,Karachi,"['ASP.net', 'JavaScript', 'jQuery', 'Software Analysis', 'Software Development', 'Software Design']",Contract,"Main Responsibilities:
Design and develop microservices-based backend systems using best practices and architectural patterns
Design & Develop Software applications as per specification by following the guidelines and best practices.
Collaborate with front-end developers, DevOps engineers, and other stakeholders to create efficient and scalable APIs
Implement and maintain RESTful APIs and communication protocol
Experience of distributed systems, RESTful APIs, communication protocols, and message brokers (e.g., RabbitMQ, Kafka)
Optimize and improve the performance and reliability of microservice
Ensure high code quality, security, and adherence to coding standards
Participate in code reviews, provide constructive feedback and mentor junior developers
Familiarity with API gateways, load balancers, and service discovery mechanisms
Troubleshoot and debug issues in production and development environments
Work with containers and orchestration tools (e.g., Docker, Kubernetes)
Stay up-to-date with emerging technologies, frameworks, and best practices in microservices development
Contribute to the documentation and knowledge sharing within the team
Participate in scrum meetings to ensure the delivery as per plan.
Qualification, Experience & Skills:
Bachelors Computer Science / Information Technology or any relevant discipline.
3+ years of relevant work experience & Strong software engineering fundamentals in OOAD, design patterns, MVC, data structures, algorithms etc.
Experience or knowledge of C#, .NET Core, Newer .Net version, SQL Server or other RDBMS, Dapper, Entity Framework Core
Experience or knowledge of Rest & GraphQL API development
Experience or knowledge of source control (Git, SVN) & unit testing tools
Knowledge of Golang, NoSQL, and Graph Database would be a plus
Experience in converting monolithic applications to microservices architecture.
Experience in implementation of SAGA pattern.
Experience of development on RabbitMQ
Strong interpersonal, written, and verbal communication skills
Ability to perform comfortably in a fast-paced, deadline-oriented, agile environment
Experience creating microservices."
